Training Log for rl_finetuned
==================================================
Epoch 49 | Loss: 0.93 | Avg Makespan: 103.2 | Best: 94.0 | Baseline: 133.9 | LR: 9.984741e-06
Epoch 50 | Loss: 0.61 | Avg Makespan: 94.2 | Best: 93.0 | Baseline: 133.0 | LR: 9.984125e-06
Epoch 51 | Loss: 0.47 | Avg Makespan: 102.2 | Best: 101.0 | Baseline: 132.3 | LR: 9.983496e-06
Epoch 52 | Loss: 0.37 | Avg Makespan: 105.0 | Best: 98.0 | Baseline: 131.7 | LR: 9.982856e-06
Epoch 53 | Loss: 0.47 | Avg Makespan: 100.8 | Best: 91.0 | Baseline: 131.0 | LR: 9.982203e-06
Epoch 54 | Loss: 0.28 | Avg Makespan: 97.8 | Best: 89.0 | Baseline: 130.4 | LR: 9.981538e-06
Epoch 55 | Loss: 0.38 | Avg Makespan: 94.5 | Best: 88.0 | Baseline: 129.7 | LR: 9.980861e-06
Epoch 56 | Loss: -0.11 | Avg Makespan: 98.5 | Best: 90.0 | Baseline: 129.5 | LR: 9.980172e-06
Epoch 57 | Loss: 0.75 | Avg Makespan: 94.5 | Best: 92.0 | Baseline: 128.6 | LR: 9.979471e-06
Epoch 58 | Loss: 0.23 | Avg Makespan: 103.8 | Best: 102.0 | Baseline: 128.2 | LR: 9.978757e-06
Epoch 59 | Loss: 0.18 | Avg Makespan: 98.2 | Best: 84.0 | Baseline: 127.7 | LR: 9.978032e-06
Epoch 60 | Loss: -0.20 | Avg Makespan: 94.0 | Best: 82.0 | Baseline: 127.6 | LR: 9.977294e-06
Epoch 61 | Loss: 0.20 | Avg Makespan: 89.8 | Best: 81.0 | Baseline: 127.1 | LR: 9.976544e-06
Epoch 62 | Loss: -0.19 | Avg Makespan: 95.5 | Best: 84.0 | Baseline: 126.9 | LR: 9.975782e-06
Epoch 63 | Loss: -0.21 | Avg Makespan: 94.8 | Best: 77.0 | Baseline: 126.9 | LR: 9.975008e-06
Epoch 64 | Loss: 0.41 | Avg Makespan: 97.2 | Best: 94.0 | Baseline: 126.3 | LR: 9.974221e-06
Epoch 65 | Loss: 0.78 | Avg Makespan: 87.2 | Best: 82.0 | Baseline: 125.2 | LR: 9.973423e-06
Epoch 66 | Loss: -0.25 | Avg Makespan: 91.5 | Best: 90.0 | Baseline: 125.1 | LR: 9.972612e-06
Epoch 67 | Loss: -0.45 | Avg Makespan: 107.8 | Best: 105.0 | Baseline: 125.2 | LR: 9.971789e-06
