Epoch,Total_Loss,Link_Loss,Prio_Loss
186,0.47111,0.44991,0.02120
187,0.46394,0.44267,0.02127
188,0.47084,0.44961,0.02122
189,0.46623,0.44514,0.02109
190,0.47275,0.45152,0.02123
191,0.46448,0.44343,0.02105
192,0.46876,0.44743,0.02133
193,0.46839,0.44714,0.02125
194,0.46560,0.44433,0.02127
195,0.47101,0.44994,0.02107
196,0.45836,0.43716,0.02120
197,0.46924,0.44801,0.02124
198,0.46231,0.44108,0.02123
199,0.46833,0.44712,0.02120
200,0.46766,0.44660,0.02106
201,0.46799,0.44673,0.02126
202,0.46485,0.44348,0.02138
203,0.46315,0.44186,0.02129
204,0.47079,0.44950,0.02129
205,0.46724,0.44615,0.02110
206,0.46555,0.44455,0.02100
207,0.46489,0.44370,0.02119
208,0.46298,0.44191,0.02107
209,0.46013,0.43911,0.02103
210,0.46443,0.44329,0.02114
211,0.46295,0.44188,0.02107
212,0.45863,0.43767,0.02096
213,0.46460,0.44351,0.02109
214,0.46655,0.44545,0.02110
215,0.46588,0.44467,0.02121
216,0.46722,0.44604,0.02118
217,0.46277,0.44166,0.02111
218,0.45946,0.43839,0.02108
219,0.46005,0.43878,0.02127
220,0.45900,0.43807,0.02093
221,0.46100,0.43953,0.02147
222,0.45859,0.43736,0.02123
223,0.46093,0.43984,0.02109
224,0.46130,0.44020,0.02110
225,0.46187,0.44063,0.02124
226,0.46082,0.43970,0.02112
227,0.46286,0.44184,0.02102
228,0.46036,0.43937,0.02099
229,0.46590,0.44455,0.02135
230,0.45855,0.43746,0.02110
231,0.45646,0.43526,0.02120
232,0.46504,0.44394,0.02110
233,0.45939,0.43839,0.02100
234,0.46031,0.43906,0.02126
235,0.46027,0.43867,0.02159
236,0.45992,0.43863,0.02129
237,0.46441,0.44345,0.02097
238,0.46500,0.44399,0.02101
239,0.46061,0.43928,0.02133
240,0.46206,0.44087,0.02120
241,0.46272,0.44161,0.02111
242,0.46110,0.43998,0.02112
243,0.46398,0.44287,0.02111
244,0.45934,0.43816,0.02117
245,0.46097,0.43974,0.02123
246,0.46182,0.44085,0.02098
247,0.46245,0.44137,0.02107
248,0.45278,0.43175,0.02103
249,0.45733,0.43620,0.02113
250,0.46310,0.44213,0.02096
251,0.46720,0.44613,0.02108
252,0.45488,0.43386,0.02101
253,0.45983,0.43889,0.02094
254,0.45966,0.43862,0.02103
255,0.45343,0.43242,0.02102
256,0.45653,0.43552,0.02101
257,0.46228,0.44127,0.02101
258,0.46528,0.44410,0.02118
259,0.45590,0.43490,0.02100
260,0.46197,0.44096,0.02101
261,0.45800,0.43700,0.02099
262,0.46336,0.44237,0.02099
263,0.45397,0.43295,0.02101
264,0.45684,0.43574,0.02110
265,0.45356,0.43257,0.02099
266,0.45600,0.43501,0.02099
267,0.45925,0.43831,0.02094
268,0.45775,0.43671,0.02104
269,0.45361,0.43243,0.02117
270,0.45878,0.43781,0.02097
