Filename,Best_Makespan
gen_10_job_0.json,259
gen_10_job_1.json,223
gen_10_job_2.json,175
gen_10_job_3.json,221
gen_10_job_4.json,229
gen_10_job_5.json,220
gen_10_job_6.json,200
gen_10_job_7.json,199
gen_10_job_8.json,227
gen_10_job_9.json,258
gen_30_job_0.json,494
gen_30_job_1.json,701
gen_30_job_2.json,705
gen_30_job_3.json,592
gen_30_job_4.json,577
gen_30_job_5.json,684
gen_30_job_6.json,655
gen_30_job_7.json,564
gen_30_job_8.json,627
gen_30_job_9.json,533
gen_50_job_0.json,523
gen_50_job_1.json,571
gen_50_job_2.json,520
gen_50_job_3.json,592
gen_50_job_4.json,584
gen_50_job_5.json,611
gen_50_job_6.json,542
gen_50_job_7.json,475
gen_50_job_8.json,564
gen_50_job_9.json,532
gen_100_job_0.json,1319
gen_100_job_1.json,1083
gen_100_job_2.json,1089
gen_100_job_3.json,1068
gen_100_job_4.json,1068
gen_100_job_5.json,975
gen_100_job_6.json,1186
gen_100_job_7.json,1034
gen_100_job_8.json,1084
gen_100_job_9.json,1239
