Filename,Best_Makespan
gen_10_job_0.json,249
gen_10_job_1.json,188
gen_10_job_2.json,179
gen_10_job_3.json,171
gen_10_job_4.json,158
gen_10_job_5.json,176
gen_10_job_6.json,187
gen_10_job_7.json,169
gen_10_job_8.json,179
gen_10_job_9.json,178
gen_30_job_0.json,445
gen_30_job_1.json,491
gen_30_job_2.json,481
gen_30_job_3.json,522
gen_30_job_4.json,491
gen_30_job_5.json,569
gen_30_job_6.json,488
gen_30_job_7.json,484
gen_30_job_8.json,507
gen_30_job_9.json,512
gen_50_job_0.json,467
gen_50_job_1.json,491
gen_50_job_2.json,422
gen_50_job_3.json,466
gen_50_job_4.json,459
gen_50_job_5.json,451
gen_50_job_6.json,474
gen_50_job_7.json,456
gen_50_job_8.json,466
gen_50_job_9.json,481
gen_100_job_0.json,902
gen_100_job_1.json,877
gen_100_job_2.json,880
gen_100_job_3.json,826
gen_100_job_4.json,818
gen_100_job_5.json,848
gen_100_job_6.json,913
gen_100_job_7.json,913
gen_100_job_8.json,924
gen_100_job_9.json,967
