Filename,Deterministic_MK,Stochastic_MK
job10_m3_173.json,244.00,244.00
job10_m3_311.json,223.00,223.00
job10_m3_373.json,221.00,221.00
job10_m3_6.json,271.00,271.00
job10_m3_727.json,260.00,260.00
job10_m3_789.json,241.00,241.00
job10_m4_121.json,178.00,178.00
job10_m4_128.json,170.00,170.00
job10_m4_174.json,170.00,170.00
job10_m4_201.json,188.00,188.00
job10_m4_257.json,183.00,183.00
job10_m4_261.json,163.00,163.00
job10_m4_267.json,177.00,177.00
job10_m4_290.json,162.00,162.00
job10_m4_309.json,179.00,179.00
job10_m4_332.json,189.00,189.00
job10_m4_376.json,163.00,163.00
job10_m4_415.json,180.00,180.00
job10_m4_446.json,157.00,157.00
job10_m4_558.json,188.00,188.00
job10_m4_625.json,190.00,190.00
job10_m4_747.json,190.00,190.00
job10_m4_829.json,163.00,163.00
job10_m4_835.json,150.00,150.00
job10_m4_880.json,202.00,202.00
job10_m4_986.json,179.00,179.00
job10_m5_105.json,128.00,128.00
job10_m5_118.json,148.00,148.00
job10_m5_131.json,159.00,159.00
job10_m5_151.json,165.00,165.00
job10_m5_176.json,135.00,135.00
job10_m5_238.json,150.00,150.00
job10_m5_247.json,180.00,180.00
job10_m5_268.json,152.00,152.00
job10_m5_320.json,168.00,168.00
job10_m5_344.json,174.00,174.00
job10_m5_453.json,166.00,166.00
job10_m5_460.json,133.00,133.00
job10_m5_469.json,163.00,163.00
job10_m5_508.json,158.00,158.00
job10_m5_531.json,150.00,150.00
job10_m5_568.json,184.00,184.00
job10_m5_575.json,155.00,155.00
job10_m5_607.json,152.00,152.00
job10_m5_610.json,177.00,177.00
job10_m5_636.json,157.00,157.00
job10_m5_64.json,141.00,141.00
job10_m5_700.json,147.00,147.00
job10_m5_703.json,156.00,156.00
job10_m5_710.json,162.00,162.00
job10_m5_719.json,172.00,172.00
job10_m5_726.json,147.00,147.00
job10_m5_769.json,174.00,174.00
job10_m5_784.json,150.00,150.00
job10_m5_943.json,157.00,157.00
job10_m5_97.json,177.00,177.00
job10_m6_18.json,128.00,128.00
job10_m6_204.json,143.00,143.00
job10_m6_225.json,129.00,129.00
job10_m6_279.json,157.00,157.00
job10_m6_486.json,125.00,125.00
job10_m6_702.json,124.00,124.00
job10_m7_106.json,130.00,130.00
job10_m7_123.json,145.00,145.00
job10_m7_140.json,133.00,133.00
job10_m7_196.json,115.00,115.00
job10_m7_264.json,120.00,120.00
job10_m7_27.json,135.00,135.00
job10_m7_366.json,125.00,125.00
job10_m7_385.json,111.00,111.00
job10_m7_394.json,145.00,145.00
job10_m7_406.json,142.00,142.00
job10_m7_513.json,114.00,114.00
job10_m7_519.json,130.00,130.00
job10_m7_58.json,139.00,139.00
job10_m7_663.json,144.00,144.00
job10_m7_731.json,117.00,117.00
job10_m7_865.json,135.00,135.00
job10_m7_90.json,116.00,116.00
job10_m7_912.json,113.00,113.00
job10_m7_914.json,124.00,124.00
job10_m8_297.json,106.00,106.00
job10_m8_464.json,107.00,107.00
job10_m8_501.json,133.00,133.00
job10_m8_563.json,124.00,124.00
job10_m8_707.json,120.00,120.00
